word,start,end,sentence,true_label
DÖVLƏT,34,39,"başqa bir yandan, təməlində milli dövlət mahiyyəti daşıyan  imperialist imperatorluqlar siyasi və iqtisadi milliyyətçiliyin  yayılaraq genişlənməsi ilə inkişaf etmişdir",1
DÖVLƏT,0,5,dövlət başçısı nümayəndə heyətinin üzvlərini salamladı,1
DÖVLƏT,37,42,"brilyant boyunbağı isə yaxın rəfiqəm dövlət televiziyasınınəməkdaşı vəfa xanımın qızı çinarə tərəfindən hədiyyə olunub""",1
DÖVLƏT,8,13,"görüşdə dövlət neft şirkətinin prezidenti natiq əliyev, birinci vitse-prezidenti, milli məclisin deputatı i̇lham əliyev və digər  rəsmi şəxslər iştirak edirdilər",1
DÖVLƏT,8,13,"i̇rəvan dövlət azərbaycan dram teatrının yaranması    i̇rəvan müəllimlər seminariyasının tələbələri elmi biliklərə  dərindən yiyələnməklə yanaşı, ədəbi yaradıcılıqla məşğul olmağa  da hədsiz üstünlük verirdilər",1
DÖVLƏT,65,70,"i̇taliya paytaxtı, roma şəhərinin qərb hissəsində yerləşən bütün dövlət-çilik atributlarına malik olan, o cümlədən: öz ərazisinə (0,4 kmq bayrağına, gerbinə, pul vahidinə, rəsmi dövlət dilinə (i̇talyan və latın dillərinə), ali qanunverici, i̇craedici və məhkəmə hakimiyyətinə və hətta, hərbi qvardiyasına və, üstəlik güclü informasiya, təbliğat vasitələrinə malikdir",1
DÖVLƏT,76,81,"onun sözlərinə görə, dini icmalarla bağlı layihələr diniqurumlarla i̇ş üzrə dövlət komitəsi ilə birlikdə həyata keçiriləcək:""ruhanilər, axundlar, imamlar, mollalar, din xadimlərinin dədediklərinə fikir vermək lazımdır",1
DÖVLƏT,1121,1126,təhsil tv onlayn televiziya kanalı yaradılacaq və geniş ictimaiyyətə təqdim ediləcək müəllimin  bacarıqlarına yiyələnməsi üçün çevik sistem yaradılacaq azərbaycanda müəllimlərin təkmilləşdirilməsi beynəlxalq standartlarla uzlaşdırılacaq müəllimlər üçün yeni modul kredit sisteminə əsaslanan stimullaşdırıcı ixtisasartırma sistemi inkişaf etdiriləcək müəllimlərin karyera inkişafı və fəaliyyətinin stimullaşdırılması qabaqcıl müəllimlərin iş təcrübəsinin yayılması sahəsində müasir tələblərə uyğun mexanizmlər yaradılacaq bununla yanaşı nəticələrə əsaslanan diferensial əmək haqqı və mükafatlandırma sistemi hazırlanacaq pedaqoji kadrların işə qəbulu sahəsində tətbiq edilmiş yeni mexanizm beynəlxalq təcrübəyə uyğun daha da təkmilləşdiriləcək ucqar kənd məktəblərinin pedaqoji kadrlarla təminatı üçün nəzərdə tutulmuş maddi stimullaşdırma tədbirləri gücləndiriləcək   ci illər üçün gənclərin xariciorta məktəblərdə bulud texnologiyaları tətbiq olunacaqkonsepsiyada qeyd edilib ki təhsil sisteminin informasiyalaşdırılması məqsədilə   ci illərdə azərbaycan respublikasında təhsil sisteminin informasiyalaşdırılmasına dair dövlət proqramı qəbul ediləcək dövlət proqramı çərçivəsində azərbaycanın bütün təhsil müəssisələri o cümlədən ucqar bölgələrdəyerləşən məktəblər internet əlaqəsi ilə təmin olunacaq hər bir təhsil müəssisəsi lazımi texniki avadanlıqla təchiz ediləcək və bütün təhsil müəssisələrinin vahid təhsil şəbəkəsinə qoşulması reallaşdırılacaq ümumtəhsil məktəblərində hər bir sinif otağı noutbuk proyektor və elektron lövhə ilə təhsil alan bütün şagirdlər  şagird  kompüter layihəsi çərçivəsində netbuk və ya planşetlərlə təmin ediləcəklər elektron təhsil texnologiyalarının tətbiqi daha da genişləndiriləcək müəllim və şagirdlər üçün virtual öyrənmə mühiti formalaşdırılacaq bu məqsədlə bütün fənlər üzrə elektron tədris və metodik resursların yaradılması davam etdiriləcək elektron resursların etibarlı saxlanılması və onlara asan çıxışın təmin olunması üçün bulud texnologiyaları tətbiq olunacaq ödənişsiz əsaslarla fəaliyyət göstərən təlim resursları yaradılacaq bu resurslar müəllif hüquq lisenziyaları ilə təmin olunmaqla təhsil prosesinə inteqrasiya ediləcək və açıq istifadəyə veriləcək elektron məktəb lərin sayı  ə çatdırılacaq rəqəmsal təhsil resurslarından istifadə imkanları genişləndiriləcəkdir özünütəhsilə və ömür boyu təhsilə artan tələbatın ödənilməsi üçün kitabxana fəaliyyəti modernləşdiriləcək elektron kitabxanaların sayı artırılacaq distant təhsilin inkişafı dəstəklənəcək və ali təhsil müəssisələrində distant təhsil geniş tətbiq olunacaq  azərbaycanda  illik ümumi təhsil sisteminə keçid təmin ediləcək bununla əlaqədar təhsil proqramları və dərsliklər müasir tələblər baxımından yeniləşdiriləcək ölkələrdə təhsil almasına dair yeni dövlət proqramı qəbul ediləcək lent az ın verdiyi məlumata görə bu azərbaycan prezidenti  əliyevin bu gün fərmanla təsdiqlədiyi azərbaycan  gələcəyə baxış  konsepsiyasında yer alıb,1
DÖVLƏT,13,18,"6 ııı fəsi̇l dövlət ekoloji nəzarətinin hüquqi mahiyyəti, məqsəd və vəzifələri, formaları “ətraf  mühitin mühafizəsi haqqında” azərbaycan respublikası qanununda təs bit olunmuşdur  (maddə 0, 4)",1
DÖVLƏT,171,176,"i̇ştirak (yaxud «assosiasiya») qiyməti (bazar qiymətlərindən aşağı olmayan), bu qiymət müqaviləsi milli neft şirkəti ilə xarici neft şirkəti arasında konkret səlahiyyətli dövlət orqanları tərəfindən tənzimləndikdə isə yataqların işlənilməsi üçün hüquqi şəxsin yaradılmasını nəzərdə tənzimlənən qiymətlər (əlavə dəyər vergisiz) nəzərdə tutulur",1
DÖVLƏT,0,5,"dövlət başçısı prezident, hökumət başçısı isə federal kanslerdir",1
DÖVLƏT,50,55,1-ci ildə hökumət bağçalara və  yaslilərə ayrılan dövlət vəsaitini azaltdı,1
DÖVLƏT,11,16,paraqvayın dövlət dilləri ispan və quarani dilləridir,1
DÖVLƏT,15,20,orada da ancaq dövlət başçıları idi,1
DÖVLƏT,15,27,"buna bəzi ərəb dövlətlərinin fələssının səbəblərindən biri də ondan ibarətdir ki, tinin ərazilərini işğal etdiyinə görə, i̇sraili dövlət birləşmiş ştatlarla rf dünyanı bölüşdürməklə bağlı razılığa gələ bilməyiblər",1
DÖVLƏT,117,122,türkiyə prezidenti rəcəb tayyib ərdoğan pakistan parlamenti olan milli assambleyanı üç dəfə ziyarət etmiş ilk xarici dövlət başçısıdır,1
DÖVLƏT,14,19,brum nyu york dövlət universiteti dikinson şəhərinin şimalında yerləşir,1
DÖVLƏT,0,5,dövlət başçısının qarşıya qoyduğu bu taleyüklü vəzifələrin yerinə yetirilməsində müasir aqroemal sənaye müəssisələrinin yaradılması ön plana çəkilir,1
DÖVLƏT,96,101,"planından istifadə etməklə bakı, sumqayıt və gəncə şəhərlə bundan başqa mövcud qanunvericilikdə dövlət şəhərsalma rində əhalinin cəmləşməsini məhdudlaşdırmaq üçün aşağıdakı norma və qaydaları (maddə 8), şəhərsalma sənədləri (maddə tədbirlərin görülməsini məqsədəmüvafıq hesab edirik: 0), şəhərsalmanın həyata keçirilməsində əsas tələblər (maddə 1",1
DÖVLƏT,36,41,əvvəlcə azərbaycanın və rumıniyanın dövlət himnləri səsləndirildi,1
DÖVLƏT,10,15,Bu barədə dövlət yol polisi məlumat yayıb,1
DÖVLƏT,13,18,"Azərbaycanda dövlət atributlarının təbliği və tədrisi işini gücləndirmək, bu sahədə aparılan tədbirlərin məqsədyönlü, sistemli qurulması, tənzimlənməsi və keçirilməsini təşkil etmək məqsədilə Azərbaycan Prezidenti Heydər Əliyev 8-ci il martın 3-də «Azərbaycan Respublikasının dövlət atributlarının təbliği işinin gücləndirilməsi haqqında» xüsusi Sərəncam verdi",1
DÖVLƏT,0,5,Dövlət başçısı bu iki təmayülü sir gös:ərir,1
DÖVLƏT,17,22,"“atəşgah məbədi” dövlət tarix-memarlıq qoruğu;“yanar dağ” dövlət tarix-mədəniyyət və təbiət qoruğu;“yuxarı baş” dövlət tarix-memarlıq qoruğu: şəki xan sarayı, şəkixanovların ev muzeyi, şəki diyarşünaslıq muzeyi, şəki xalq tətbiqi sənət muzeyi və şəki rəsm qalereyası;“kiş” tarix-memarlıq qoruğu: alban məbədi",1
DÖVLƏT,18,23,Nəzаrət bu mənаdа dövlət idаrəеtmə siklinin tərkib hissəsi оlmаqlа dövlət idаrəеtmə оrqаnlаrının fəаl təşkilаti fəаliyyətinin prаktiki həyаtа kеçirilməsi üçün аlətdir,1
DÖVLƏT,25,30,"hesabat kanadanın keçmiş dövlət katibi devid kilqur,hüquq-müdafiəçisi devid meytas və jurnalist etan qutman tərəfindənhazırlanıb",1
DÖVLƏT,55,60,Birinci növbədə sosial məsələlərə diqqət yetirilmiş və Dövlət Neft Fondunun hesabından artıq yüz milyonlarla dollar vəsait xərclənmişdir,1
DÖVLƏT,73,78,"lakin dünyanın böyük ölkələrinin telekanallarının informasiya siyasətinə dövlət nəzarəti onu göstərir ki, müstəqil televiziya yayımı yalnız verilişlərə aiddir",1
DÖVLƏT,94,99,1995-ci ilin oktyabrında Müəssisə Yenidənqurma Agentliyinin direktoru Qazaxıstan Respublikası Dövlət Əmlak Komitəsi sədrinin müavini təyin edildi,1
DÖVLƏT,9,14,Məbəd və dövlət təsərrüfatlannda çahşanlann əməyi natural  formada ödənilirdi,1
DÖVLƏT,0,5,"Dövlət də məbədi, ideoloji olaraq erkən evlilik qurumunu,  bakirəliyi, qadın itaətkarlığını, onun mütləq sədaqətini dəstəkləyirdi",1
DÖVLƏT,25,30,"1 ildir ki, biz müstəqil dövlət kimi yaşayırıq",1
DÖVLƏT,4,9,"Bu, dövlət başçısının gələcəkdə respublika üçün inkişaf proqramıdır",1
DÖVLƏT,11,16,Bu barədə  dövlət i̇mtahan mərkəzindən məlumat evrilib,1
DÖVLƏT,124,129,sürükləyirlər. İndi olmasa da 3 il 5 il ya da belə 15 il sonra bir gün məhv edəcəklər özlərini də Azərbaycanı da. Ancaq vardövlət və hökmranlıq sevgisi üçün Avropalılar hakımyətə sadəcə ona görə təziq edirlərki özləri üçün lazım olanı əldə edir,0
DÖVLƏT,119,124,"tərəfdən, artıq uzun müddətdir ki İran rəhbərliyi xalqın rifahını düşünmək əvəzinə, şəxsi şöhrətpərəstlik, güc və var-dövlət uğrunda mübarizə aparmaqdadır. Bunu Əhmədinejadın proseslə bağlı açıqlamalarında da görmək mümkündür. Məsələn,",0
DÖVLƏT,113,118,"əhvalatlarla dolu kinohekayədir. Burada film üçün xüsusi musiqi proqramı tərtib olunmuş, o cümlədən qəflətən var-dövlət sahibi olan Məşədinin məzəli, Dərvişin qeyri-adi mahnıları Rəşid Behbudovun ifasında səslənmişdir. ...Müğənni",0
DÖVLƏT,116,121,"tərzi seçməlidirlər. Bunu edə bilməyən insanlar da başqa yol - yaltaqlıq, qeyri-qanuni və qeyri-əxlaqi yollarla var-dövlət toplamaq yolunu seçirlər. Düşünürəm ki, bu yolla cəmiyyətdən mümkün qədər daha çox şey qoparıb ona heç nə verməyənlər",0
DÖVLƏT,118,123,"Kayl və onun füsunkar arvadı Sara Miller. Onlar yaxşı yaşamaq üçün hər şeyə sahibdirlər - böyük bir ev, maşınlar, var-dövlət və sevgi... Amma çağırılmamış qonaqlar evə hücum edib onları ölüm təhlükəsiylə üz-üzə qoyduqda, xəyanət və yalanlar",0
DÖVLƏT,116,121,", həddi aşana, günahkara, daş ürəkliyə,(anlamaza və eyni zamanda) əsli-nəsəbi bilinməyən haramzadaya – o (adam) var-dövlət və oğul-uşaq sahibi olsa belə!"" Söhbət Quranın fəzilətindən düşsə, yaxşı olar ki, bu barədə danışmaq istəyən özünü",0
DÖVLƏT,124,129,"haqqında elm” adlı əsərinə əsasən: “Varlı olmağın yolları haqqında elm var və bu elm cəbr və həndəsə kimi dəqiq elmdir. Var-dövlət əldə etmək proseslərini idarə edən müəyyən qanunlar da var. Bu qanunları öyrənərək, onlara tabe olan istənilən insan",0
DÖVLƏT,117,122,"qanunları öyrənərək, onlara tabe olan istənilən insan riyazi dəqiqliklə varlanacaqdır.” Bu həqiqətən də belədir. Var-dövlət sahibləri çox gözəl bilirlər ki, əldə etdikləri adi qaydalara riayət olunmaqla əldə olunur. Var-dövləti olmayan",0
DÖVLƏT,124,129,"olmayan insanlar isə bu sadə qanunların olması barədə heç təsəvvürləri belə yoxdur və buna görə də onlara elə gəlir ki, var-dövlət uğurun, bəxtin və ya fırıldağın nəticəsidir. Düzdür bu yollar ilə də var-dövlət əldə etmək mümkündür və olunur da.",0
DÖVLƏT,41,46,"və buna görə də onlara elə gəlir ki, var-dövlət uğurun, bəxtin və ya fırıldağın nəticəsidir. Düzdür bu yollar ilə də var-dövlət əldə etmək mümkündür və olunur da. Lakin, hər kəs bu yollarla əldə olunanların çox uzun zaman tab gətirmədiyini də",0
DÖVLƏT,124,129,"bu səbəblərdən bir deyil, bir neçəsi bəlkədə hər birinə görə hələ də varlı deyilsiniz. 12 səbəb: 1. İnsanlar heç zaman Var-dövlət onlar üçün nə deməkdir anlamını dəqiq olaraq təsəvvürlərinə belə gətirmirlər. Burda əsas vurğu “dəqiq” sözünə",0
DÖVLƏT,119,124,"necə düzəltmək olar? Siz hara getdiyinizi bilməlisiniz və daha sonra həmin istiqamətdə hərəkətə başlamalısınız. 2. Var-dövlət insanlar üçün – daim hərəkətdə olan məqsəddir. Yəni insan irəli getdikcə, var-dövlət də bir o qədər uzaqlaşır. Bunun",0
DÖVLƏT,32,37,"hərəkətə başlamalısınız. 2. Var-dövlət insanlar üçün – daim hərəkətdə olan məqsəddir. Yəni insan irəli getdikcə, var-dövlət də bir o qədər uzaqlaşır. Bunun əksinə o bir yerdə durmalıdır, insan isə ona tərəf hərəkət etməlidir. Bunun belə",0
DÖVLƏT,120,125,"həyata hansı yol­la nail ola biləcəyimizi bilməliyik. Bu rahatlığa nail olmaq üçün insanın özünü oda-közə vu­raraq, var-dövlət , şan-şöhrət və qüdrət əldə etməsi ol­duq­ca əbəs işdir. İnsanın Uzunömürlüyün sirri nədən ibarətdir? Sağlamlığı",0
DÖVLƏT,46,51,"Lakin qadın varlı və iman sahibi olduqda, var-dövlət özlüyündə ailə qurulması üçün məqsəd olmadıqda və yalnız ikinci dərəcəli amil olduqda sərvət çətin vaxtlarda köməyə yetir.",0
DÖVLƏT,28,33,"Gözəllik gəldi-gedərdi, var-dövlət də həmçinin, müvəqqətidir, dinsə elə bir bağlılıqdır ki, heç zaman yox olmur, əksinə vaxt ötdükcə daha da qüvvətlənir",0
DÖVLƏT,119,124,", yaxud nankor olacağınızı) yoxlamaq məqsədilə Biz sizi şər və xeyirlə (xəstəlik, yoxsulluq, ehtiyac və sağlamlıq, var-dövlət və cah-calalla) imtahana çəkərik. Və siz (Qiyamət günü əməllərinizin əvəzini almaq üçün), ancaq Bizim hüzurumuza",0
DÖVLƏT,118,123,"şölələnən ümid çırağıdır. Həyatın bütün ağrı-acılarını şirinləşdirən də məhz bu ümid nurudur. Biri külli miqdarda var-dövlət əldə etmək istəyir, ona na­il olmaq üçün yorulmaq bilmədən çalışır. Başqa birisi isə şan-şöhrət və vəzifə arzusunda",0
DÖVLƏT,111,116,"80-lərin sonu, 90-ların əvvəllərinə qayıtsaq hər kəsin bir-biri ilə necə mehriban davrandığını, insanların var-dövlət hərisliyinin indiki ilə müqayisədə haradasa yox dərəcəsində olduğunu, Qarabağ və ətraf bölgələrin kəndlərində",0
DÖVLƏT,114,119,"boyun əymək və qadağan etdiklərindən çəkinmək üçün Rəbbimiz olan Allah ilə əhdimizi təzələməliyik ki, heç bir var-dövlət , oğul-uşağın fayda verməyəcəyi və yalnız Allaha səlim bir qəlb gətirəndən başqasının fayda verəcəyi bir Gündə uğur",0
DÖVLƏT,121,126,"olduğu kimi mənfur deyil. Əksinə, bu ideologiya insanı daha qlobal düşünməyə sövq edir. Ancaq çirkli siyasət, pul və var-dövlət hərisliyi əsla bu utopiyanın həyata keçməsinə imkan verməzdi. Yalnız şəxsi mülkiyyətin mövcud olduğu demokratik",0
DÖVLƏT,114,119,"sayılan İraqın mənəvi sərvətlərini nəzərdə tutmuşdur. Nizami Gəncəvinin heç vaxt dünya malında gözü olmamış, var-dövlət onu cəlb edə bilməmişdir. «Sirlər xəzinəsi»nin «Şairlik ləyaqəti» hissəsində Nizami bu fikrini bir daha söyləmiş,",0
DÖVLƏT,117,122,", onunla dostlaşır və özünün şəxsi həkimi təyin edir. Məhəmməd Bəqər ömrünün sonuna qədər orada yaşayır və böyük var-dövlət sahibi olur. HƏKİM CƏBRAYIL (vəfatı 1616). Həkim Məhəmməd Bəqərin oğlu. Tibb elmini Qəzvin və İsfahan şəhərlərində",0
